fsid voxnum.coactivation.char.AG.lh voxnum.aud.char.AG.lh voxnum.vis.char.AG.lh voxnum.coactivation.char.AG.rh voxnum.aud.char.AG.rh voxnum.vis.char.AG.rh voxnum.coactivation.char.cingulate_ant.lh voxnum.aud.char.cingulate_ant.lh voxnum.vis.char.cingulate_ant.lh voxnum.coactivation.char.cingulate_ant.rh voxnum.aud.char.cingulate_ant.rh voxnum.vis.char.cingulate_ant.rh voxnum.coactivation.char.cingulate_mid.lh voxnum.aud.char.cingulate_mid.lh voxnum.vis.char.cingulate_mid.lh voxnum.coactivation.char.cingulate_mid.rh voxnum.aud.char.cingulate_mid.rh voxnum.vis.char.cingulate_mid.rh voxnum.coactivation.char.cingulate_pos.lh voxnum.aud.char.cingulate_pos.lh voxnum.vis.char.cingulate_pos.lh voxnum.coactivation.char.cingulate_pos.rh voxnum.aud.char.cingulate_pos.rh voxnum.vis.char.cingulate_pos.rh voxnum.coactivation.char.FG.lh voxnum.aud.char.FG.lh voxnum.vis.char.FG.lh voxnum.coactivation.char.FG.rh voxnum.aud.char.FG.rh voxnum.vis.char.FG.rh voxnum.coactivation.char.IFG.lh voxnum.aud.char.IFG.lh voxnum.vis.char.IFG.lh voxnum.coactivation.char.IFG.rh voxnum.aud.char.IFG.rh voxnum.vis.char.IFG.rh voxnum.coactivation.char.STG.lh voxnum.aud.char.STG.lh voxnum.vis.char.STG.lh voxnum.coactivation.char.STG.rh voxnum.aud.char.STG.rh voxnum.vis.char.STG.rh voxnum.coactivation.phon.AG.lh voxnum.aud.phon.AG.lh voxnum.vis.phon.AG.lh voxnum.coactivation.phon.AG.rh voxnum.aud.phon.AG.rh voxnum.vis.phon.AG.rh voxnum.coactivation.phon.cingulate_ant.lh voxnum.aud.phon.cingulate_ant.lh voxnum.vis.phon.cingulate_ant.lh voxnum.coactivation.phon.cingulate_ant.rh voxnum.aud.phon.cingulate_ant.rh voxnum.vis.phon.cingulate_ant.rh voxnum.coactivation.phon.cingulate_mid.lh voxnum.aud.phon.cingulate_mid.lh voxnum.vis.phon.cingulate_mid.lh voxnum.coactivation.phon.cingulate_mid.rh voxnum.aud.phon.cingulate_mid.rh voxnum.vis.phon.cingulate_mid.rh voxnum.coactivation.phon.cingulate_pos.lh voxnum.aud.phon.cingulate_pos.lh voxnum.vis.phon.cingulate_pos.lh voxnum.coactivation.phon.cingulate_pos.rh voxnum.aud.phon.cingulate_pos.rh voxnum.vis.phon.cingulate_pos.rh voxnum.coactivation.phon.FG.lh voxnum.aud.phon.FG.lh voxnum.vis.phon.FG.lh voxnum.coactivation.phon.FG.rh voxnum.aud.phon.FG.rh voxnum.vis.phon.FG.rh voxnum.coactivation.phon.IFG.lh voxnum.aud.phon.IFG.lh voxnum.vis.phon.IFG.lh voxnum.coactivation.phon.IFG.rh voxnum.aud.phon.IFG.rh voxnum.vis.phon.IFG.rh voxnum.coactivation.phon.STG.lh voxnum.aud.phon.STG.lh voxnum.vis.phon.STG.lh voxnum.coactivation.phon.STG.rh voxnum.aud.phon.STG.rh voxnum.vis.phon.STG.rh
18001 0 0 0 0 0 0 0 1 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 13 0 8 0 0 1 0 2 88 5 4 34 23 0 3 0 0 0 0 0 0 2 0 0 0 0 4 5 0 6 3 0 0 0 0 0 0 0 13 0 0 22 0 16 97 32 0 23 0 0 87 0 7 115 7
18004 0 74 0 0 67 0 0 270 0 0 356 0 0 260 0 0 299 0 0 22 0 0 37 0 1 39 3 0 76 0 0 161 0 0 208 0 1 200 1 0 136 0 0 0 0 0 0 0 0 9 0 0 18 8 0 16 0 0 34 2 0 0 0 0 0 0 0 0 1 0 0 0 0 22 2 10 117 10 0 147 0 0 118 0
18006 0 31 0 7 46 8 0 85 1 0 110 0 0 166 0 0 121 0 0 55 0 0 47 0 4 102 16 0 28 7 0 100 0 0 103 0 0 196 0 0 32 1 3 7 12 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 7 0 9 0 0 28 0 0 16 0 0 36 0
18008 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 7 1 14 28 0 0 0 0 18 1 0 73 0 0 74 0 0 2 16 2 8 113 0 0 16 0 0 8 0 0 18 0 0 48 0 0 9 0 0 8 10 39 57 0 0 63 10 17 42 5 32 32 2 21 12 21 22 64
18009 10 10 53 0 0 3 1 1 4 0 1 4 2 39 9 0 40 6 0 8 0 0 1 0 0 0 17 0 1 36 2 16 28 25 38 89 42 92 44 0 38 0 13 33 17 0 0 3 0 2 64 0 2 44 5 24 53 16 38 55 1 1 1 0 0 0 15 37 76 2 14 94 26 62 66 24 104 47 76 178 76 42 184 45
18010 0 6 0 1 27 2 1 7 8 0 4 33 40 44 143 17 24 162 0 0 0 0 0 0 10 13 126 0 0 21 0 23 0 71 74 153 18 73 19 7 30 14 0 2 0 0 2 0 0 0 0 0 0 12 3 29 3 0 5 2 0 0 0 0 0 0 0 10 3 0 0 10 0 38 0 89 136 121 41 138 41 50 89 52
18013 1 113 1 22 216 25 5 14 147 4 16 194 1 278 18 1 381 11 0 97 0 0 73 0 13 33 97 0 0 43 0 17 22 29 69 52 75 152 79 19 115 37 43 51 123 72 86 122 1 16 17 3 38 14 112 371 147 117 384 133 13 13 32 4 5 9 37 60 60 12 32 32 23 57 77 7 103 18 126 191 126 158 189 173
18014 0 0 0 0 0 0 0 18 4 0 0 3 0 10 3 0 53 0 0 0 0 0 0 1 0 1 23 0 0 24 4 42 46 2 36 85 6 154 6 0 7 59 0 0 0 0 0 21 1 7 1 0 0 6 4 9 56 0 0 36 0 0 0 0 0 0 1 55 31 0 9 24 1 86 1 5 26 68 15 178 15 21 134 40
18015 0 0 0 0 0 107 0 0 1 0 0 0 0 0 6 0 0 31 0 0 0 0 0 0 0 0 87 0 0 85 0 15 0 1 13 69 32 34 52 18 30 76 0 0 0 1 1 105 0 0 159 0 0 211 0 0 166 0 0 210 0 0 0 0 0 0 0 2 69 0 0 144 0 1 63 10 10 220 76 86 107 53 55 131
18017 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 31 0 0 19 0 3 3 0 3 0 0 26 0 0 0 0 0 0 0 0 0 0 0 6 0 0 24 0 0 15 0 0 20 0 0 16 0 0 3 0 0 3 15 0 0 25 0 25 0 0 36 0 1 98 1 6 41 8
